[Frame 30] Birth: speed=3.07, diet=1, fear=0.00, mutation=minor
[Frame 30] Birth: speed=2.83, diet=1, fear=0.00, mutation=minor
[Frame 30] Birth: speed=2.57, diet=1, fear=0.09, mutation=minor
[Frame 30] Birth: speed=3.82, diet=1, fear=0.01, mutation=minor
[Frame 30] Birth: speed=7.48, diet=1, fear=0.12, mutation=minor
[Frame 30] Death: hunted (speed=7.62)
[Frame 30] Death: hunted (speed=5.78)
[Frame 30] Death: hunted (speed=8.00)
[Frame 30] Death: hunted (speed=4.65)
[Frame 30] Birth: speed=4.24, diet=1, fear=0.01, mutation=minor
[Frame 30] Birth: speed=2.54, diet=1, fear=0.10, mutation=minor
[Frame 30] Birth: speed=3.39, diet=1, fear=0.00, mutation=minor
[Frame 30] Birth: speed=2.50, diet=1, fear=0.09, mutation=minor
[Frame 30] Birth: speed=4.10, diet=1, fear=0.01, mutation=minor
[Frame 30] Birth: speed=2.33, diet=1, fear=0.10, mutation=minor
[Frame 30] Birth: speed=4.30, diet=1, fear=0.01, mutation=minor
[Frame 30] Birth: speed=4.07, diet=1, fear=0.01, mutation=minor
[Frame 30] Birth: speed=1.67, diet=1, fear=0.11, mutation=minor
[Frame 30] Birth: speed=4.48, diet=1, fear=0.02, mutation=minor
[Frame 30] Birth: speed=5.40, diet=1, fear=0.15, mutation=minor
[Frame 30] Birth: speed=5.07, diet=1, fear=0.06, mutation=minor
[Frame 30] Birth: speed=4.90, diet=1, fear=0.06, mutation=minor
[Frame 30] Birth: speed=7.38, diet=1, fear=0.15, mutation=minor
[Frame 30] Birth: speed=2.06, diet=1, fear=0.06, mutation=minor
[Frame 30] Birth: speed=8.00, diet=1, fear=0.00, mutation=minor
[Frame 30] Birth: speed=4.52, diet=1, fear=0.10, mutation=minor
[Frame 30] Birth: speed=4.95, diet=1, fear=0.10, mutation=minor
[Frame 30] Birth: speed=8.00, diet=1, fear=0.12, mutation=minor
[Frame 30] Birth: speed=4.46, diet=1, fear=0.20, mutation=minor
[Frame 30] Birth: speed=1.45, diet=1, fear=0.02, mutation=minor
[Frame 30] Birth: speed=2.22, diet=1, fear=0.08, mutation=minor
[Frame 30] Birth: speed=5.05, diet=0, fear=0.00, mutation=minor
[Frame 30] Birth: speed=4.79, diet=1, fear=0.12, mutation=minor
[Frame 30] Birth: speed=7.21, diet=1, fear=0.09, mutation=minor
[Frame 30] Birth: speed=1.70, diet=1, fear=0.00, mutation=minor
[Frame 30] Birth: speed=4.42, diet=1, fear=0.20, mutation=minor
[Frame 30] Birth: speed=1.72, diet=1, fear=0.00, mutation=minor
[Frame 30] Birth: speed=2.08, diet=1, fear=0.09, mutation=minor
[Frame 30] Birth: speed=5.55, diet=1, fear=0.07, mutation=minor
[Frame 30] Birth: speed=3.17, diet=1, fear=0.00, mutation=minor
[Frame 30] Birth: speed=2.30, diet=1, fear=0.12, mutation=minor
[Frame 30] Birth: speed=2.94, diet=1, fear=0.15, mutation=minor
[Frame 30] Birth: speed=3.77, diet=1, fear=0.17, mutation=minor
[Frame 30] Birth: speed=2.56, diet=1, fear=0.08, mutation=minor
[Frame 30] Birth: speed=1.54, diet=1, fear=0.09, mutation=minor
[Frame 30] Birth: speed=6.06, diet=1, fear=0.09, mutation=minor
[Frame 30] Birth: speed=7.14, diet=1, fear=0.12, mutation=minor
[Frame 30] Birth: speed=3.13, diet=1, fear=0.13, mutation=minor
[Frame 30] Birth: speed=4.00, diet=1, fear=0.19, mutation=minor
[Frame 30] Birth: speed=4.45, diet=1, fear=0.01, mutation=minor
[Frame 30] Birth: speed=6.42, diet=1, fear=0.12, mutation=minor
[Frame 30] Birth: speed=1.10, diet=1, fear=0.00, mutation=speed_shift
[Frame 30] Birth: speed=1.21, diet=1, fear=0.12, mutation=minor
[Frame 30] Birth: speed=3.82, diet=1, fear=0.08, mutation=minor
[Frame 30] Birth: speed=2.24, diet=1, fear=0.09, mutation=minor
[Frame 30] Birth: speed=1.39, diet=1, fear=0.04, mutation=minor
[Frame 30] Birth: speed=2.72, diet=1, fear=0.00, mutation=minor
[Frame 30] Birth: speed=8.00, diet=1, fear=0.14, mutation=minor
[Frame 30] Birth: speed=6.33, diet=1, fear=0.07, mutation=minor
[Frame 30] Birth: speed=7.55, diet=1, fear=0.07, mutation=minor
[Frame 30] Birth: speed=1.67, diet=0, fear=0.08, mutation=minor
[Frame 30] Birth: speed=3.41, diet=1, fear=0.25, mutation=minor
[Frame 30] Birth: speed=4.21, diet=0, fear=0.05, mutation=minor
[Frame 30] Birth: speed=3.56, diet=0, fear=0.13, mutation=minor
[Frame 30] Birth: speed=5.49, diet=0, fear=0.17, mutation=minor
[Frame 30] Birth: speed=3.82, diet=0, fear=0.00, mutation=minor
[Frame 30] Birth: speed=1.58, diet=0, fear=0.09, mutation=minor
[Frame 30] Birth: speed=0.99, diet=0, fear=0.09, mutation=minor
[Frame 30] Birth: speed=0.62, diet=0, fear=0.00, mutation=minor
[Frame 30] Birth: speed=3.05, diet=0, fear=0.25, mutation=minor
[Frame 30] Birth: speed=3.70, diet=0, fear=0.00, mutation=minor
[Frame 30] Birth: speed=4.01, diet=0, fear=0.20, mutation=minor
[Frame 30] Birth: speed=6.42, diet=1, fear=0.10, mutation=minor
[Frame 30] Birth: speed=2.78, diet=0, fear=0.21, mutation=minor
[Frame 30] Birth: speed=7.25, diet=0, fear=0.10, mutation=minor
[Frame 30] Birth: speed=8.00, diet=0, fear=0.12, mutation=speed_shift
